捣蛋鬼,4,突击步枪,461-484,埃尔韦拉
涡能步枪,4,突击步枪,437-459,无
滑膛枪,3,突击步枪,344-354,无
核子步枪,2,突击步枪,283-289,无
步枪,1,突击步枪,255,无
火焰眼镜蛇步枪,3,突击步枪,355-362,无
欧米伽冲击枪,5,突击步枪,597-656
离子炮,2,突击步枪,283-289,无
AK,3,突击步枪,345-358,无
水晶双管枪,3,突击步枪,341-352,无
地能步枪,4,突击步枪,437-458,无
异形步枪,3,突击步枪,345-355,无
沙漠猎人步枪,3,突击步枪,355-365,无
双管枪,2,突击步枪,283-292,无
神奇激光暴风,4,突击步枪,462-485,索菲
复仇者,5,突击步枪,599-658,奥尔卡
引力炮,4,突击步枪,437-463,无
钢膛步枪,4,突击步枪,436-457,无
强化火铳,2,突击步枪,281-289,无
索拉里斯,5,爪,716-786,梅丽尔
如尼符文石之爪,3,爪,389-401,无
大地虎牙爪,2,爪,345-352,无
坚定的决议,4,爪,497-522,岚芳
青铜爪,1,爪,311,无
正义虎牙爪,4,爪,515-541,无
黄金天蝎爪,3,爪,400-412,无
黑玫瑰之爪,3,爪,400-412,无
火山犄角,5,爪,716-786,比什巴赫
雪原恶狼爪,2,爪,354-361,无
新手爪,1,爪,268,无
火凤翼爪,4,爪,529-555,无
自动爪,1,爪,291,无
守护者之爪,3,爪,351-362,无
赤铁爪,2,爪,345-352,无
黑狮牙之爪,4,爪,543-570,无
雷鸣爪,2,爪,351-358,无
龙牙爪,4,爪,534-560,无
魔鬼爪,3,爪,441-454,无
女王的优雅,5,爪,733-805,莉莉丝
毁灭之爪,3,爪,411-424,无
黑暗魔影爪,2,爪,339-345,无
恶魔爪,5,爪,710-780,无
剑爪,1,爪,311,无
愤怒火山爪,3,爪,419-431,无
鬼爪,3,爪,382-394,无
斯芬克斯爪,2,爪,351-358,无
疯狂熊猫爪,4,爪,437-459,无
雪怪爪,1,爪,270,无
寒刺之爪,3,爪,415-427,无
暴风雪之爪,4,爪,492-517,无
公牛手套,1,手套,270,无
黑皮手套,3,手套,358-369,无
粉碎者,4,手套,475-499,拉比
信念拳套,3,手套,362-372,无
铁拳套,2,手套,306-312,无
魔道拳套魔科-08,5,手套,606-665,无
韧性手套,1,手套,270,无
幸运手套,4,手套,460-483,无
荆棘拳套,3,手套,327-337,无
巨拳手套,3,手套,327-337,无
愤怒拳套,3,手套,383-394,无
乌尔坎,4,手套,502-527,马修
逐日者手套,2,手套,312-318,无
暗杀拳套,4,手套,462-485,无
猎虎者手套,3,手套,392-404,无
星空拳套,3,手套,348-358,无
酷寒斗志拳套,3,手套,361-372,无
明镜止水,5,手套,720-790,兰儿
暴雪手套,4,手套,458-480,无
伊弗利特,5,手套,720-791,辛缇拉
蒸汽齿轮拳套,1,手套,270,无
火山拳手套,3,手套,361-372,无
毒液手套,3,手套,383-394,无
黄金追踪者拳套,2,手套,294-00,无
火焰龙爪手套,4,手套,497-522,无
木匠手套,1,手套,262,无
猫猫拳套,3,手套,404-416,无
蓝色战士的城堡拳套,5,手套,530,无
山神,5,手套,716-786,阿勒夫
偷袭者拳套,3,手套,361-372,无
拳士的自尊,4,手套,515-541,佩儿梅儿
黑蜘蛛拳套,2,手套,312-318,无
光辉拳套,4,手套,445-467,无
火山神弓,3,弓,355-365,无
古代精灵之弓,4,弓,462-485,无
追踪者之弓,1,弓,273,无
狙击之弓,2,弓,277-283,无
火形弓,4,弓,467-490,无
恶魔之弓,3,弓,365-376,无
熔岩之弓,2,弓,297-303,无
森林猎人之弓,3,弓,365-376,无
恶魔翼神弓,1,弓,272,无
圣母颂,5,弓,622-683,加百列
魔法之弓,2,弓,303-309,无
冰冷之心,4,弓,475-499,无
鲜花神弓,3,弓,354-365,无
沙兰加神弓,5,弓,623-684,蒂尼亚
光辉之弓,3,弓,358-369,无
神箭手之弓,1,弓,270,无
奥伯伦,4,弓,484-508,青叶
日食弓,2,弓,303-309,无
冰霜弓,3,弓,358-369,无
太阳花园之弓,4,弓,453-476,无
铁弓,3,弓,322-331,无
火焰弓,3,弓,358-369,无
偷袭者,4,弓,483-507,凯瑟琳
战马弓,3,弓,354-365,无
千雷弓,5,弓,622-683,佳岚
守护者之弓,4,弓,454-476,无
弓,1,弓,275,无
狼泣之弓,3,弓,337-347,无
绿色战士的飞马神弓,5,弓,530,无
女妖之鸣,3,弓,377-389,无
恐怖翼弓,4,弓,484-508,无
冰柱之弓,1,弓,272,无
黄龙神弓,5,弓,606-665,无
月蚀双手剑,4,双手剑,563-591,无
无毁的湖光,5,双手剑,756-830,无
英雄双手剑,3,双手剑,432-445,无
普洛米诺斯,5,双手剑,793-870,普利特维采
德国双手剑,2,双手剑,364-371,无
黑暗骑士双手剑,3,双手剑,443-456,无
库安克双手剑,1,双手剑,318,无
噬血骑士双手剑,4,双手剑,536-563,无
云纹双手剑,3,双手剑,424-437,无
勇者之心,5,双手剑,729-801,尤金
皇家骑士双手剑,3,双手剑,439-452,无
海之女神,5,双手剑,772-848,海滩科学家索菲
三叉戟双手剑,1,双手剑,321,无
流星双手剑,2,双手剑,359-366,无
冰川刀,4,双手剑,566-594,无
海洋守护者,5,双手剑,777-853,救生员柚子
大地之歌双手剑,3,双手剑,431-444,无
新手双手剑,1,双手剑,321,无
盖米诺斯,4,双手剑,576-605,艾米
蓝蛛双手剑,3,双手剑,428-441,无
银河双手剑,4,双手剑,554-582,无
塔尔塔洛斯,4,双手剑,593-623,柚子
契约双手剑,3,双手剑,348-358,无
阿施塔特,5,双手剑,787-864,比安卡
盖亚刀,2,双手剑,361-369,无
湛蓝双手剑,3,双手剑,437-450,无
火焰刺双手剑,1,双手剑,324,无
猎食者,5,双手剑,763-838,贝丝
牛头人双手剑,4,双手剑,582-612,无
拜蒙双手剑,3,双手剑,379-390,无
霹雳巨石双手剑,2,双手剑,353-360,无
黑刺双手剑,3,双手剑,431-444,无
魔像双手剑,3,双手剑,335-366,无
电刀,1,双手剑,278,无
牛头人剑,4,单手剑,467-490,无
火剑,3,单手剑,358-369,无
风暴之剑,1,单手剑,266,无
血染之剑,4,单手剑,445-467,无
红莲,5,单手剑,605-665,琳
粉色战士的电光剑,5,单手剑,530,无
黄金剑,3,单手剑,345-355,无
阿尔马达,5,单手剑,598-657,玛丽娜
钝剑,1,单手剑,262,无
镶金之剑,4,单手剑,454-476,无
鼓舞之剑,3,单手剑,358-369,无
地齿剑,3,单手剑,352-362,无
刺客匕首,2,单手剑,287-293,无
圣剑,5,单手剑,595-653,无
铜剑,3,单手剑,338-348,无
利贝拉,4,单手剑,470-494
灼热之剑,1,单手剑,262,无
净化之剑,4,单手剑,452-475,无
梦幻之剑,3,单手剑,355-365,无
骑士之剑,2,单手剑,286-292,无
无邪,5,单手剑,606-665,拉碧丝
青铜剑,2,单手剑,286-292,无
火凤之剑,5,单手剑,600-659,无
沉默,4,单手剑,470-494,克雷格
弯剑,1,单手剑,262,无
鳞剑,3,单手剑,338-348,无
军刀,2,单手剑,292-297,无
树妖剑,4,单手剑,445-467,无
方阵刹那,5,单手剑,606-665,欧格玛
真理,4,单手剑,431-452,阿依莎
行刑者之剑,1,单手剑,263,无
恶魔之剑,3,单手剑,365-376,无
新手剑,1,单手剑,266,无
村雨,4,单手剑,474-497,赤雪
巴尔蒙克,5,单手剑,607-667,埃里娜
月光剑,4,单手剑,458-481,无
